Sample_ID,Experiment,Long_Name,Short_Name,sgRNA,Fraction,Replicate,guide_effect,filestem
14,FUS,sg1152 Neurite 2,52N2,sg1152,Neurite,2,FUS_knockdown,VR-8153-14
15,FUS,sg1152 Neurite 3,52N3,sg1152,Neurite,3,FUS_knockdown,VR-8153-15
16,FUS,sg1152 Neurite 4,52N4,sg1152,Neurite,4,FUS_knockdown,VR-8153-16
17,FUS,sg1152 Neurite 5,52N5,sg1152,Neurite,5,FUS_knockdown,VR-8153-17
18,FUS,sg1152 Neurite 6,52N6,sg1152,Neurite,6,FUS_knockdown,VR-8153-18
19,FUS,sg1152 Soma 1,52S1,sg1152,Soma,1,FUS_knockdown,VR-8153-19
20,FUS,sg1152 Soma 2,52S2,sg1152,Soma,2,FUS_knockdown,VR-8153-20
21,FUS,sg1152 Soma 3,52S3,sg1152,Soma,3,FUS_knockdown,VR-8153-21
22,FUS,sg1152 Soma 4,52S4,sg1152,Soma,4,FUS_knockdown,VR-8153-22
23,FUS,sg1152 Soma 5,52S5,sg1152,Soma,5,FUS_knockdown,VR-8153-23
24,FUS,sg1152 Soma 6,52S6,sg1152,Soma,6,FUS_knockdown,VR-8153-24
