Sample_ID,Experiment,Long_Name,Short_Name,sgRNA,Fraction,Replicate,Contrast,filestem,Sample
3,FUS,sg100 Neurite 3,1N3,sg100,Neurite,3,nt_control,VR-8153-3,FUS.3
4,FUS,sg100 Neurite 4,1N4,sg100,Neurite,4,nt_control,VR-8153-4,FUS.4
5,FUS,sg100 Neurite 5,1N5,sg100,Neurite,5,nt_control,VR-8153-5,FUS.5
6,FUS,sg100 Neurite 6,1N6,sg100,Neurite,6,nt_control,VR-8153-6,FUS.6
7,FUS,sg100 Soma 1,1S1,sg100,Soma,1,nt_control,VR-8153-7,FUS.7
8,FUS,sg100 Soma 2,1S2,sg100,Soma,2,nt_control,VR-8153-8,FUS.8
9,FUS,sg100 Soma 3,1S3,sg100,Soma,3,nt_control,VR-8153-9,FUS.9
10,FUS,sg100 Soma 4,1S4,sg100,Soma,4,nt_control,VR-8153-10,FUS.10
11,FUS,sg100 Soma 5,1S5,sg100,Soma,5,nt_control,VR-8153-11,FUS.11
12,FUS,sg100 Soma 6,1S6,sg100,Soma,6,nt_control,VR-8153-12,FUS.12
13,FUS,sg1152 Neurite 1,52N1,sg1152,Neurite,1,knockdown,VR-8153-13,FUS.13
14,FUS,sg1152 Neurite 2,52N2,sg1152,Neurite,2,knockdown,VR-8153-14,FUS.14
15,FUS,sg1152 Neurite 3,52N3,sg1152,Neurite,3,knockdown,VR-8153-15,FUS.15
16,FUS,sg1152 Neurite 4,52N4,sg1152,Neurite,4,knockdown,VR-8153-16,FUS.16
17,FUS,sg1152 Neurite 5,52N5,sg1152,Neurite,5,knockdown,VR-8153-17,FUS.17
18,FUS,sg1152 Neurite 6,52N6,sg1152,Neurite,6,knockdown,VR-8153-18,FUS.18
19,FUS,sg1152 Soma 1,52S1,sg1152,Soma,1,knockdown,VR-8153-19,FUS.19
20,FUS,sg1152 Soma 2,52S2,sg1152,Soma,2,knockdown,VR-8153-20,FUS.20
21,FUS,sg1152 Soma 3,52S3,sg1152,Soma,3,knockdown,VR-8153-21,FUS.21
22,FUS,sg1152 Soma 4,52S4,sg1152,Soma,4,knockdown,VR-8153-22,FUS.22
23,FUS,sg1152 Soma 5,52S5,sg1152,Soma,5,knockdown,VR-8153-23,FUS.23
24,FUS,sg1152 Soma 6,52S6,sg1152,Soma,6,knockdown,VR-8153-24,FUS.24
